GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin,CoverallsReportMojo,8,493,1,13,2,112,1,20,0,14
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin,Environment,0,170,3,39,0,43,3,23,0,5
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin,ProcessingException,0,16,0,0,0,8,0,4,0,4
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.domain,Branch,0,27,0,0,0,10,0,5,0,5
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.domain,GitRepository,0,110,0,2,0,26,0,6,0,5
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.domain,Git,0,27,0,0,0,10,0,5,0,5
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.domain,Git.Remote,0,15,0,0,0,6,0,3,0,3
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.domain,CoverallsResponse,0,21,0,0,0,8,0,4,0,4
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.domain,Job,0,152,1,9,0,45,1,30,0,26
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.domain,Git.Head,0,39,0,0,0,14,0,7,0,7
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.domain,Source,0,371,4,30,0,77,4,32,0,19
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.validation,ValidationError.Level,0,15,0,0,0,2,0,1,0,1
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.validation,JobValidator,0,94,0,14,0,22,0,12,0,5
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.validation,ValidationError,0,42,0,4,0,11,0,6,0,4
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.validation,ValidationErrors,0,63,0,8,0,14,0,7,0,3
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.validation,ValidationException,0,16,0,0,0,8,0,4,0,4
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.httpclient,CoverallsProxyClient,0,14,0,0,0,2,0,1,0,1
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.httpclient,CoverallsClient,0,216,1,13,0,44,1,12,0,6
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.httpclient,HttpClientFactory,2,115,3,11,0,24,3,8,0,4
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.service,Travis,0,44,0,0,0,11,0,7,0,7
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.service,Circle,0,49,0,2,0,11,0,7,0,6
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.service,Jenkins,0,60,0,2,0,13,0,8,0,7
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.service,Appveyor,0,45,0,0,0,9,0,8,0,8
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.service,Shippable,0,83,0,2,0,18,0,9,0,8
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.service,AbstractServiceSetup,0,41,0,4,0,15,0,11,0,9
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.service,General,0,32,0,2,0,8,0,8,0,7
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.service,Wercker,0,24,0,0,0,7,0,6,0,6
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.service,Bamboo,0,26,0,2,0,7,0,7,0,6
coveralls-maven-plugin,com.github.hazendaz.maven.coveralls_maven_plugin,HelpMojo,864,0,112,0,156,0,72,0,16,0
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.parser,AbstractXmlEventParser,24,95,1,11,8,25,1,13,0,8
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.parser,JaCoCoParser,0,157,3,19,0,26,3,10,0,2
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.parser,CoberturaParser,1,191,5,25,1,38,5,12,0,2
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.parser,CloverParser,149,0,28,0,25,0,17,0,3,0
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.parser,SagaParser,0,26,0,2,0,8,0,3,0,2
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.source,ScanSourceLoader,0,138,0,10,0,24,0,9,0,4
coveralls-maven-plugin,org.eluder.coveralls.maven.plugin.source,DirectorySourceLoader,0,47,0,4,0,9,0,4,0,2
